dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA,A,2026,7202588000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA,A,2027,6564934000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA,A,2028,6564010000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA,A,2029,6334348000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA,A,2030,5895238000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA,A,2031,5267673000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA_NGDPD,A,2026,5.211928,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA_NGDPD,A,2027,4.554723,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA_NGDPD,A,2028,4.37204,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA_NGDPD,A,2029,4.043354,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA_NGDPD,A,2030,3.598659,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,BCA_NGDPD,A,2031,3.075088,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LP,A,2026,18243816,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LP,A,2027,18385975,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LP,A,2028,18529121,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LP,A,2029,18672456,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LP,A,2030,18815497,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LP,A,2031,18957924,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LUR,A,2026,3.1,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LUR,A,2027,3.1,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LUR,A,2028,3.1,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LUR,A,2029,3.1,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LUR,A,2030,3.1,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,LUR,A,2031,3.1,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,NGDP,A,2026,138194326000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,NGDP,A,2027,144134668000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,NGDP,A,2028,150136098000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,NGDP,A,2029,156660719000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,NGDP,A,2030,163817641000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/26/2025
dataflow,IMF.RES:WEO(9.0.0),R,ECU,NGDP,A,2031,171301521000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/26/2025
